tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca
OCOI,2025-05-20 00:00:00,2025-06-14 00:00:00,146.23,2025-06-06 00:00:00
OCOI,2024-06-15 00:00:00,2024-06-29 00:00:00,130.42,2024-06-24 00:00:00
OCOI,2024-03-20 00:00:00,2024-03-28 00:00:00,173.63,2024-03-23 00:00:00
OCO,2023-01-29 00:00:00,2023-03-14 00:00:00,25.56,2023-02-21 00:00:00
OCOI,2022-10-02 00:00:00,2022-11-03 00:00:00,28.06,2022-10-22 00:00:00
OCO,2022-07-08 00:00:00,2022-07-31 00:00:00,44.32,2022-07-19 00:00:00
OCOI,2021-05-20 00:00:00,2021-05-30 00:00:00,27.99,2021-05-24 00:00:00
OCO,2021-05-09 00:00:00,2021-05-21 00:00:00,51.39,2021-05-18 00:00:00
