ticker,intervalo,tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca
SOL-USD,4h,OCOI,2024-05-24 08:00:00,2024-05-28 04:00:00,162.65,2024-05-26 16:00:00
SOL-USD,4h,OCOI,2024-04-01 16:00:00,2024-04-04 04:00:00,178.51,2024-04-02 12:00:00
SOL-USD,4h,OCO,2024-02-29 16:00:00,2024-03-04 12:00:00,133.52,2024-03-01 08:00:00
SOL-USD,4h,OCOI,2024-02-05 00:00:00,2024-02-07 08:00:00,94.85,2024-02-06 12:00:00
XRP-USD,1d,OCO,2024-05-06 00:00:00,2024-06-18 00:00:00,0.54,2024-05-25 00:00:00
XRP-USD,1d,OCO,2023-10-25 00:00:00,2023-11-25 00:00:00,0.70,2023-11-07 00:00:00
XRP-USD,1d,OCO,2022-09-30 00:00:00,2022-10-29 00:00:00,0.53,2022-10-09 00:00:00
XRP-USD,1d,OCO,2021-11-04 00:00:00,2021-11-20 00:00:00,1.27,2021-11-09 00:00:00
XRP-USD,1d,OCO,2021-08-28 00:00:00,2021-09-12 00:00:00,1.35,2021-09-06 00:00:00
XRP-USD,4h,OCOI,2025-05-24 00:00:00,2025-05-27 04:00:00,2.29,2025-05-25 12:00:00
XRP-USD,4h,OCO,2025-04-21 08:00:00,2025-04-24 16:00:00,2.25,2025-04-23 08:00:00
XRP-USD,4h,OCO,2025-03-13 12:00:00,2025-03-17 16:00:00,2.43,2025-03-15 12:00:00
XRP-USD,4h,OCOI,2025-03-09 20:00:00,2025-03-13 20:00:00,2.04,2025-03-11 00:00:00
XRP-USD,4h,OCOI,2025-02-23 16:00:00,2025-02-26 20:00:00,2.18,2025-02-25 08:00:00
XRP-USD,4h,OCOI,2025-01-29 16:00:00,2025-02-04 08:00:00,2.34,2025-02-03 04:00:00
XRP-USD,4h,OCOI,2024-11-18 20:00:00,2024-11-20 20:00:00,1.08,2024-11-20 04:00:00
XRP-USD,4h,OCO,2024-03-07 20:00:00,2024-03-17 16:00:00,0.72,2024-03-11 20:00:00
XRP-USD,4h,OCOI,2023-11-17 16:00:00,2023-11-27 16:00:00,0.59,2023-11-22 00:00:00
