tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca
OCO,2024-03-04,2024-03-17,73083.5,2024-03-13
OCOI,2024-06-24,2024-07-24,55849.109375,2024-07-07
OCOI,2024-07-24,2024-08-15,53991.45703125,2024-08-05
OCOI,2024-08-15,2024-09-16,53948.75390625,2024-09-06
