tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2024-12-15 00:00:00,2024-12-27 00:00:00,6.90,2024-12-22 00:00:00,539,551
OCO,2024-11-24 00:00:00,2024-12-13 00:00:00,10.67,2024-12-07 00:00:00,518,537
OCO,2024-07-10 00:00:00,2024-07-21 00:00:00,6.42,2024-07-16 00:00:00,381,392
OCOI,2024-06-15 00:00:00,2024-06-29 00:00:00,5.63,2024-06-21 00:00:00,356,370
