tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-12 11:00:00,2025-06-13 16:00:00,0.27,2025-06-13 01:00:00,17250,17279
OCOI,2025-05-12 19:00:00,2025-05-14 09:00:00,0.26,2025-05-13 06:00:00,16514,16552
OCO,2025-05-10 09:00:00,2025-05-12 03:00:00,0.27,2025-05-11 04:00:00,16456,16498
OCOI,2025-03-11 15:00:00,2025-03-13 21:00:00,0.22,2025-03-12 15:00:00,15022,15076
OCOI,2025-01-19 12:00:00,2025-01-21 01:00:00,0.22,2025-01-20 01:00:00,13795,13832
OCO,2025-01-16 20:00:00,2025-01-18 15:00:00,0.25,2025-01-18 03:00:00,13731,13774
