tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-04-03 00:00:00,2025-04-18 00:00:00,1.85,2025-04-08 00:00:00,648,663
OCO,2024-05-06 00:00:00,2024-06-18 00:00:00,0.54,2024-05-25 00:00:00,316,359
