tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-02-12 00:00:00,2024-03-25 00:00:00,21.13,2024-03-04 00:00:00,33,39
OCO,2023-11-13 00:00:00,2023-12-25 00:00:00,16.04,2023-12-04 00:00:00,20,26
