tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-11-24 00:00:00,2024-12-12 00:00:00,0.71,2024-12-07 00:00:00,518,536
OCOI,2024-06-29 00:00:00,2024-07-19 00:00:00,0.48,2024-07-05 00:00:00,370,390
