tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-11-24 00:00:00,2024-12-13 00:00:00,135.76,2024-12-06 00:00:00,518,537
OCOI,2024-10-26 00:00:00,2024-11-13 00:00:00,65.47,2024-11-05 00:00:00,489,507
OCO,2024-10-06 00:00:00,2024-10-30 00:00:00,74.59,2024-10-20 00:00:00,469,493
