ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim,data_ombro1,data_ombro2,label_humano
ADA-USD,1d,OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,17,1440,2025-01-06 00:00:00,1.09,2604,2621,2024-12-28 00:00:00,2025-01-12 00:00:00,1.0
ADA-USD,1d,OCOI,2024-10-15 00:00:00,2024-11-06 00:00:00,22,1440,2024-10-26 00:00:00,0.33,2531,2558,2024-10-18 00:00:00,2024-11-05 00:00:00,1.0
ADA-USD,1d,OCO,2023-02-06 00:00:00,2023-03-16 00:00:00,38,1440,2023-02-18 00:00:00,0.41,1914,1952,2023-02-08 00:00:00,2023-03-14 00:00:00,0.0
ADA-USD,1d,OCO,2021-08-26 00:00:00,2021-09-13 00:00:00,18,1440,2021-09-03 00:00:00,2.97,1385,1400,2021-08-28 00:00:00,2021-09-09 00:00:00,1.0
ADA-USD,1d,OCO,2020-11-03 00:00:00,2020-12-24 00:00:00,51,1440,2020-11-30 00:00:00,0.17,1089,1140,2020-11-25 00:00:00,2020-12-17 00:00:00,0.0
ADA-USD,1h,OCO,2025-05-28 07:00:00,2025-05-30 17:00:00,58,60,2025-05-29 03:00:00,0.76,16833,16891,2025-05-28 12:00:00,2025-05-30 12:00:00,0.0
ADA-USD,1h,OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,62,60,2025-05-19 06:00:00,0.72,16602,16664,2025-05-18 20:00:00,2025-05-20 13:00:00,1.0
ADA-USD,1h,OCOI,2025-05-13 20:00:00,2025-05-16 06:00:00,58,60,2025-05-15 14:00:00,0.76,16486,16544,2025-05-14 03:00:00,2025-05-15 23:00:00,0.0
ADA-USD,1h,OCOI,2025-05-12 16:00:00,2025-05-14 06:00:00,38,60,2025-05-13 03:00:00,0.78,16455,16496,2025-05-12 19:00:00,2025-05-14 03:00:00,1.0
ADA-USD,1h,OCO,2025-04-27 16:00:00,2025-04-29 22:00:00,54,60,2025-04-28 08:00:00,0.72,16098,16168,2025-04-27 21:00:00,2025-04-29 17:00:00,1.0
ADA-USD,1h,OCO,2025-03-04 20:00:00,2025-03-06 01:00:00,29,60,2025-03-05 11:00:00,0.99,14806,14835,2025-03-05 02:00:00,2025-03-05 20:00:00,-1.0
ADA-USD,1h,OCO,2025-02-14 07:00:00,2025-02-15 06:00:00,23,60,2025-02-14 18:00:00,0.82,14361,14405,2025-02-14 10:00:00,2025-02-15 03:00:00,1.0
ADA-USD,1h,OCO,2025-02-04 08:00:00,2025-02-06 16:00:00,56,60,2025-02-05 14:00:00,0.77,14122,14181,2025-02-04 15:00:00,2025-02-06 07:00:00,1.0
ADA-USD,1h,OCO,2025-01-27 11:00:00,2025-01-29 14:00:00,51,60,2025-01-28 11:00:00,0.96,13933,13984,2025-01-27 15:00:00,2025-01-29 07:00:00,1.0
ADA-USD,1h,OCOI,2025-01-04 07:00:00,2025-01-05 14:00:00,31,60,2025-01-05 03:00:00,1.06,13372,13408,2025-01-04 11:00:00,2025-01-05 12:00:00,1.0
ADA-USD,1h,OCO,2024-12-07 10:00:00,2024-12-08 09:00:00,23,60,2024-12-08 00:00:00,1.21,12709,12732,2024-12-07 15:00:00,2024-12-08 07:00:00,0.0
ADA-USD,1h,OCOI,2024-11-10 18:00:00,2024-11-11 21:00:00,27,60,2024-11-11 06:00:00,0.57,12069,12096,2024-11-10 21:00:00,2024-11-11 14:00:00,1.0
ADA-USD,1h,OCOI,2024-03-27 06:00:00,2024-03-28 08:00:00,26,60,2024-03-27 16:00:00,0.64,6580,6618,2024-03-27 08:00:00,2024-03-28 03:00:00,1.0
ADA-USD,1h,OCO,2024-03-15 09:00:00,2024-03-17 07:00:00,46,60,2024-03-16 08:00:00,0.73,6300,6346,2024-03-15 19:00:00,2024-03-17 03:00:00,0.0
ADA-USD,1h,OCO,2024-02-21 19:00:00,2024-02-22 23:00:00,28,60,2024-02-22 09:00:00,0.61,5758,5813,2024-02-21 23:00:00,2024-02-23 21:00:00,1.0
ADA-USD,1h,OCOI,2024-01-30 02:00:00,2024-02-03 10:00:00,104,60,2024-02-01 13:00:00,0.49,5213,5317,2024-01-31 11:00:00,2024-02-02 14:00:00,0.0
ADA-USD,1h,OCO,2024-01-11 00:00:00,2024-01-12 16:00:00,40,60,2024-01-11 13:00:00,0.61,4744,4851,2024-01-11 04:00:00,2024-01-13 06:00:00,1.0
ADA-USD,1h,OCOI,2023-12-10 05:00:00,2023-12-12 19:00:00,62,60,2023-12-11 19:00:00,0.53,3992,4054,2023-12-10 09:00:00,2023-12-12 17:00:00,1.0
ADA-USD,1h,OCO,2023-11-10 19:00:00,2023-11-12 19:00:00,48,60,2023-11-11 17:00:00,0.39,3282,3364,2023-11-11 00:00:00,2023-11-12 08:00:00,1.0
ADA-USD,1wk,OCO,2022-05-23 00:00:00,2022-10-17 00:00:00,21,10080,2022-08-08 00:00:00,0.55,236,257,2022-06-06 00:00:00,2022-09-05 00:00:00,1.0
ADA-USD,1wk,OCO,2021-03-08 00:00:00,2021-06-21 00:00:00,15,10080,2021-05-10 00:00:00,2.04,173,188,2021-04-12 00:00:00,2021-05-31 00:00:00,1.0
ADA-USD,4h,OCO,2025-06-01 08:00:00,2025-06-05 16:00:00,26,240,2025-06-04 04:00:00,0.7,4233,4261,2025-06-01 20:00:00,2025-06-05 08:00:00,1.0
ADA-USD,4h,OCO,2025-05-09 00:00:00,2025-05-13 04:00:00,25,240,2025-05-11 00:00:00,0.83,4085,4118,2025-05-09 08:00:00,2025-05-12 08:00:00,1.0
ADA-USD,4h,OCOI,2025-04-28 08:00:00,2025-05-03 16:00:00,32,240,2025-04-30 16:00:00,0.68,4029,4061,2025-04-28 16:00:00,2025-05-02 20:00:00,1.0
ADA-USD,4h,OCOI,2025-01-30 16:00:00,2025-02-04 16:00:00,30,240,2025-02-03 04:00:00,0.69,3503,3533,2025-01-31 04:00:00,2025-02-04 08:00:00,0.0
ADA-USD,4h,OCO,2024-12-26 20:00:00,2024-12-31 04:00:00,26,240,2024-12-29 08:00:00,0.89,3294,3320,2024-12-27 12:00:00,2024-12-30 20:00:00,0.0
ADA-USD,4h,OCOI,2024-11-29 12:00:00,2024-12-03 04:00:00,22,240,2024-12-01 04:00:00,1.05,3130,3152,2024-11-29 20:00:00,2024-12-02 08:00:00,0.0
ADA-USD,4h,OCO,2024-07-13 12:00:00,2024-07-19 08:00:00,35,240,2024-07-16 00:00:00,0.45,2263,2331,2024-07-13 20:00:00,2024-07-17 08:00:00,1.0
