ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
AVAX-USD,1h,OCO,2024-03-04 01:00:00,2024-03-04 23:00:00,22,60,2024-03-04 12:00:00,43.66,5922,5944
AVAX-USD,1h,OCOI,2024-02-29 12:00:00,2024-03-01 08:00:00,20,60,2024-02-29 23:00:00,40.57,5837,5857
AVAX-USD,1h,OCOI,2024-02-17 02:00:00,2024-02-18 02:00:00,24,60,2024-02-17 14:00:00,38.84,5539,5563
AVAX-USD,1h,OCO,2024-02-15 01:00:00,2024-02-16 03:00:00,26,60,2024-02-15 10:00:00,43.14,5490,5516
AVAX-USD,1h,OCOI,2024-01-24 21:00:00,2024-01-26 22:00:00,49,60,2024-01-25 13:00:00,29.81,4982,5031
AVAX-USD,1h,OCOI,2024-01-17 00:00:00,2024-01-17 17:00:00,17,60,2024-01-17 08:00:00,35.47,4793,4810
AVAX-USD,1h,OCOI,2024-01-07 10:00:00,2024-01-09 02:00:00,40,60,2024-01-08 03:00:00,32.04,4563,4603
AVAX-USD,1h,OCO,2024-01-04 06:00:00,2024-01-05 09:00:00,27,60,2024-01-04 19:00:00,38.92,4487,4514
AVAX-USD,1h,OCO,2023-12-30 19:00:00,2024-01-01 02:00:00,31,60,2023-12-31 10:00:00,40.32,4380,4411
AVAX-USD,1h,OCOI,2023-12-03 18:00:00,2023-12-05 14:00:00,44,60,2023-12-04 15:00:00,21.46,3732,3776
AVAX-USD,1h,OCO,2023-10-24 13:00:00,2023-10-26 23:00:00,57,60,2023-10-26 08:00:00,11.36,2775,2832
AVAX-USD,4h,OCO,2025-05-18 12:00:00,2025-05-26 08:00:00,47,240,2025-05-23 00:00:00,25.49,4126,4173
AVAX-USD,4h,OCO,2025-05-12 04:00:00,2025-05-18 12:00:00,38,240,2025-05-14 04:00:00,26.06,4088,4126
AVAX-USD,4h,OCOI,2025-04-13 20:00:00,2025-04-20 12:00:00,40,240,2025-04-16 08:00:00,18.78,3918,3958
AVAX-USD,4h,OCOI,2025-02-13 20:00:00,2025-02-21 20:00:00,48,240,2025-02-18 16:00:00,23.32,3564,3612
AVAX-USD,4h,OCO,2025-01-09 12:00:00,2025-01-12 16:00:00,19,240,2025-01-10 08:00:00,37.59,3352,3371
AVAX-USD,4h,OCO,2024-11-24 04:00:00,2024-11-27 12:00:00,20,240,2024-11-25 08:00:00,45.25,3074,3094
AVAX-USD,4h,OCOI,2024-10-01 20:00:00,2024-10-05 20:00:00,24,240,2024-10-03 12:00:00,24.55,2754,2778
AVAX-USD,4h,OCOI,2024-08-13 08:00:00,2024-08-19 12:00:00,37,240,2024-08-15 20:00:00,20.11,2457,2494
AVAX-USD,4h,OCOI,2024-06-22 08:00:00,2024-06-27 00:00:00,28,240,2024-06-24 16:00:00,23.83,2145,2173
AVAX-USD,4h,OCO,2024-03-12 20:00:00,2024-03-15 00:00:00,13,240,2024-03-14 04:00:00,56.76,1536,1549
AVAX-USD,4h,OCO,2023-11-18 16:00:00,2023-11-21 12:00:00,16,240,2023-11-20 00:00:00,22.70,846,862
BCH-USD,1d,OCO,2025-03-03 00:00:00,2025-03-12 00:00:00,9,1440,2025-03-06 00:00:00,393.82,2670,2679
BCH-USD,1d,OCOI,2025-02-22 00:00:00,2025-03-04 00:00:00,10,1440,2025-02-25 00:00:00,291.61,2661,2671
BCH-USD,1d,OCOI,2024-06-24 00:00:00,2024-07-18 00:00:00,24,1440,2024-07-08 00:00:00,323.05,2418,2442
BCH-USD,1d,OCO,2024-04-01 00:00:00,2024-04-15 00:00:00,14,1440,2024-04-07 00:00:00,690.03,2334,2348
