ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
BTC-USD,4h,OCO,2024-12-11 20:00:00,2024-12-19 08:00:00,45,240,2024-12-17 08:00:00,106838.46,3220,3265
BTC-USD,4h,OCOI,2024-03-17 00:00:00,2024-03-23 00:00:00,36,240,2024-03-20 00:00:00,61814.55,1601,1637
ETH-USD,1d,OCO,2025-05-22 00:00:00,2025-06-04 00:00:00,13,1440,2025-05-28 00:00:00,2672.64,2750,2763
ETH-USD,1d,OCOI,2024-06-29 00:00:00,2024-07-18 00:00:00,19,1440,2024-07-08 00:00:00,2974.06,2423,2442
ETH-USD,1d,OCO,2024-05-22 00:00:00,2024-06-02 00:00:00,11,1440,2024-05-28 00:00:00,3866.13,2385,2396
ETH-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-30 00:00:00,10,1440,2024-03-23 00:00:00,3335.14,2322,2332
ETH-USD,1d,OCOI,2023-12-12 00:00:00,2023-12-26 00:00:00,14,1440,2023-12-20 00:00:00,2189.89,2223,2237
ETH-USD,1d,OCOI,2023-02-25 00:00:00,2023-03-16 00:00:00,19,1440,2023-03-10 00:00:00,1433.91,1933,1952
ETH-USD,1d,OCO,2022-09-29 00:00:00,2022-10-18 00:00:00,19,1440,2022-10-05 00:00:00,1357.48,1784,1803
ETH-USD,1d,OCO,2022-07-29 00:00:00,2022-08-25 00:00:00,27,1440,2022-08-13 00:00:00,1969.29,1722,1749
ETH-USD,1d,OCO,2021-04-06 00:00:00,2021-04-22 00:00:00,16,1440,2021-04-15 00:00:00,2477.11,1243,1259
ETH-USD,1d,OCOI,2020-09-06 00:00:00,2020-10-31 00:00:00,55,1440,2020-09-23 00:00:00,332.81,1031,1086
ETH-USD,1d,OCO,2018-04-24 00:00:00,2018-05-14 00:00:00,20,1440,2018-05-06 00:00:00,804.22,165,185
ETH-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,2642.76,4325,4363
ETH-USD,4h,OCO,2025-04-12 16:00:00,2025-04-19 20:00:00,43,240,2025-04-14 08:00:00,1654.75,3951,3994
ETH-USD,4h,OCOI,2025-01-16 20:00:00,2025-01-20 00:00:00,19,240,2025-01-19 08:00:00,3208.64,3436,3455
ETH-USD,4h,OCOI,2024-11-13 20:00:00,2024-11-17 20:00:00,24,240,2024-11-15 16:00:00,3032.00,3052,3076
ETH-USD,4h,OCOI,2023-11-15 00:00:00,2023-11-22 00:00:00,42,240,2023-11-17 16:00:00,1927.69,863,905
SOL-USD,1d,OCOI,2025-05-20 00:00:00,2025-06-14 00:00:00,25,1440,2025-06-06 00:00:00,146.23,1865,1890
SOL-USD,1d,OCOI,2024-06-15 00:00:00,2024-06-29 00:00:00,14,1440,2024-06-24 00:00:00,130.42,1526,1540
SOL-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-28 00:00:00,8,1440,2024-03-23 00:00:00,173.63,1439,1447
SOL-USD,1d,OCO,2023-01-29 00:00:00,2023-03-14 00:00:00,44,1440,2023-02-21 00:00:00,25.56,1023,1067
SOL-USD,1d,OCOI,2022-10-02 00:00:00,2022-11-03 00:00:00,32,1440,2022-10-22 00:00:00,28.06,904,936
SOL-USD,1d,OCO,2022-07-08 00:00:00,2022-07-31 00:00:00,23,1440,2022-07-19 00:00:00,44.32,818,841
SOL-USD,1d,OCOI,2021-05-20 00:00:00,2021-05-30 00:00:00,10,1440,2021-05-24 00:00:00,27.99,404,414
SOL-USD,1d,OCO,2021-05-09 00:00:00,2021-05-21 00:00:00,12,1440,2021-05-18 00:00:00,51.39,393,405
SOL-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,157.07,4325,4363
SOL-USD,4h,OCO,2025-05-09 20:00:00,2025-05-12 04:00:00,14,240,2025-05-11 00:00:00,176.77,4114,4128
SOL-USD,4h,OCO,2025-04-23 12:00:00,2025-04-28 08:00:00,29,240,2025-04-25 08:00:00,154.68,4016,4045
SOL-USD,4h,OCOI,2025-03-10 00:00:00,2025-03-12 04:00:00,13,240,2025-03-10 20:00:00,119.18,3749,3762
SOL-USD,4h,OCOI,2025-02-05 20:00:00,2025-02-08 00:00:00,13,240,2025-02-06 20:00:00,189.99,3556,3569
SOL-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,25,240,2025-02-03 04:00:00,198.78,3522,3547
SOL-USD,4h,OCOI,2025-01-20 00:00:00,2025-01-23 08:00:00,20,240,2025-01-21 04:00:00,236.74,3455,3475
SOL-USD,4h,OCO,2024-09-08 08:00:00,2024-09-12 20:00:00,27,240,2024-09-10 20:00:00,136.16,2653,2680
SOL-USD,4h,OCO,2024-09-01 16:00:00,2024-09-04 16:00:00,18,240,2024-09-03 00:00:00,135.29,2613,2631
SOL-USD,4h,OCO,2024-07-18 08:00:00,2024-07-24 16:00:00,38,240,2024-07-22 00:00:00,182.77,2341,2379
SOL-USD,4h,OCO,2024-07-16 00:00:00,2024-07-18 08:00:00,14,240,2024-07-16 16:00:00,161.61,2327,2341
SOL-USD,4h,OCO,2024-05-27 16:00:00,2024-05-30 16:00:00,18,240,2024-05-29 04:00:00,171.31,2031,2049
SOL-USD,4h,OCOI,2024-05-24 08:00:00,2024-05-28 04:00:00,23,240,2024-05-26 16:00:00,162.65,2011,2034
SOL-USD,4h,OCOI,2024-04-01 16:00:00,2024-04-04 04:00:00,15,240,2024-04-02 12:00:00,178.51,1695,1710
SOL-USD,4h,OCO,2024-02-29 16:00:00,2024-03-04 12:00:00,23,240,2024-03-01 08:00:00,133.52,1503,1526
SOL-USD,4h,OCOI,2024-02-05 00:00:00,2024-02-07 08:00:00,14,240,2024-02-06 12:00:00,94.85,1355,1369
XRP-USD,1d,OCO,2024-05-06 00:00:00,2024-06-18 00:00:00,43,1440,2024-05-25 00:00:00,0.54,2369,2412
XRP-USD,1d,OCO,2023-10-25 00:00:00,2023-11-25 00:00:00,31,1440,2023-11-07 00:00:00,0.70,2175,2206
XRP-USD,1d,OCO,2022-09-30 00:00:00,2022-10-29 00:00:00,29,1440,2022-10-09 00:00:00,0.53,1785,1814
XRP-USD,1d,OCO,2021-11-04 00:00:00,2021-11-20 00:00:00,16,1440,2021-11-09 00:00:00,1.27,1455,1471
XRP-USD,1d,OCO,2021-08-28 00:00:00,2021-09-12 00:00:00,15,1440,2021-09-06 00:00:00,1.35,1387,1402
XRP-USD,4h,OCOI,2025-05-24 00:00:00,2025-05-27 04:00:00,19,240,2025-05-25 12:00:00,2.29,4199,4218
XRP-USD,4h,OCO,2025-04-21 08:00:00,2025-04-24 16:00:00,20,240,2025-04-23 08:00:00,2.25,4003,4023
XRP-USD,4h,OCO,2025-03-13 12:00:00,2025-03-17 16:00:00,25,240,2025-03-15 12:00:00,2.43,3770,3795
XRP-USD,4h,OCOI,2025-03-09 20:00:00,2025-03-13 20:00:00,24,240,2025-03-11 00:00:00,2.04,3748,3772
XRP-USD,4h,OCOI,2025-02-23 16:00:00,2025-02-26 20:00:00,19,240,2025-02-25 08:00:00,2.18,3663,3682
XRP-USD,4h,OCOI,2025-01-29 16:00:00,2025-02-04 08:00:00,34,240,2025-02-03 04:00:00,2.34,3513,3547
XRP-USD,4h,OCOI,2024-11-18 20:00:00,2024-11-20 20:00:00,12,240,2024-11-20 04:00:00,1.08,3082,3094
XRP-USD,4h,OCO,2024-03-07 20:00:00,2024-03-17 16:00:00,59,240,2024-03-11 20:00:00,0.72,1546,1605
XRP-USD,4h,OCOI,2023-11-17 16:00:00,2023-11-27 16:00:00,60,240,2023-11-22 00:00:00,0.59,879,939
