tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,2024-12-29 00:00:00,2025-01-11 00:00:00,0.31,2025-01-04 00:00:00,543,560
OCO,2024-11-26 00:00:00,2024-12-22 00:00:00,2024-12-03 00:00:00,2024-12-14 00:00:00,0.35,2024-12-07 00:00:00,512,538
OCO,2023-08-01 00:00:00,2023-09-12 00:00:00,2023-08-09 00:00:00,2023-08-20 00:00:00,0.07,2023-08-15 00:00:00,29,71
