tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-10 12:00:00,2025-06-14 23:00:00,2025-06-12 11:00:00,2025-06-14 20:00:00,0.15,2025-06-13 02:00:00,17014,17121
OCOI,2025-05-31 16:00:00,2025-06-03 15:00:00,2025-06-01 02:00:00,2025-06-02 19:00:00,0.17,2025-06-01 10:00:00,16778,16849
OCO,2025-05-25 01:00:00,2025-05-28 19:00:00,2025-05-25 06:00:00,2025-05-27 18:00:00,0.19,2025-05-26 08:00:00,16619,16709
OCOI,2025-05-18 16:00:00,2025-05-21 06:00:00,2025-05-18 20:00:00,2025-05-20 19:00:00,0.19,2025-05-19 12:00:00,16466,16528
OCOI,2025-05-05 06:00:00,2025-05-07 09:00:00,2025-05-05 15:00:00,2025-05-07 06:00:00,0.17,2025-05-06 11:00:00,16144,16195
OCOI,2025-04-13 10:00:00,2025-04-14 12:00:00,2025-04-13 16:00:00,2025-04-14 08:00:00,0.16,2025-04-13 22:00:00,15620,15646
OCO,2025-04-12 03:00:00,2025-04-13 16:00:00,2025-04-12 14:00:00,2025-04-13 10:00:00,0.18,2025-04-12 23:00:00,15589,15626
OCO,2025-04-10 16:00:00,2025-04-12 03:00:00,2025-04-10 20:00:00,2025-04-11 21:00:00,0.17,2025-04-11 10:00:00,15554,15589
OCO,2025-03-19 02:00:00,2025-03-21 15:00:00,2025-03-19 15:00:00,2025-03-20 14:00:00,0.20,2025-03-19 23:00:00,15012,15073
OCOI,2025-03-17 19:00:00,2025-03-19 15:00:00,2025-03-18 04:00:00,2025-03-19 02:00:00,0.18,2025-03-18 17:00:00,14981,15025
OCO,2025-03-12 00:00:00,2025-03-13 07:00:00,2025-03-12 02:00:00,2025-03-12 23:00:00,0.21,2025-03-12 12:00:00,14842,14873
OCOI,2025-02-14 14:00:00,2025-02-15 09:00:00,2025-02-14 16:00:00,2025-02-15 07:00:00,0.23,2025-02-14 23:00:00,14232,14251
OCOI,2025-02-09 08:00:00,2025-02-10 09:00:00,2025-02-09 14:00:00,2025-02-10 02:00:00,0.22,2025-02-09 22:00:00,14106,14131
OCO,2025-02-07 00:00:00,2025-02-08 09:00:00,2025-02-07 02:00:00,2025-02-08 00:00:00,0.24,2025-02-07 14:00:00,14050,14083
OCOI,2025-02-02 20:00:00,2025-02-03 11:00:00,2025-02-02 22:00:00,2025-02-03 09:00:00,0.21,2025-02-03 02:00:00,13950,13965
OCOI,2025-01-20 19:00:00,2025-01-21 18:00:00,2025-01-20 21:00:00,2025-01-21 15:00:00,0.33,2025-01-21 06:00:00,13637,13660
OCO,2025-01-18 17:00:00,2025-01-19 12:00:00,2025-01-18 20:00:00,2025-01-19 06:00:00,0.36,2025-01-19 02:00:00,13587,13606
OCO,2024-12-25 08:00:00,2024-12-26 10:00:00,2024-12-25 10:00:00,2024-12-26 03:00:00,0.32,2024-12-25 18:00:00,13003,13029
OCOI,2024-12-08 01:00:00,2024-12-08 18:00:00,2024-12-08 02:00:00,2024-12-08 16:00:00,0.33,2024-12-08 09:00:00,12588,12605
OCO,2024-12-05 03:00:00,2024-12-05 20:00:00,2024-12-05 05:00:00,2024-12-05 16:00:00,0.31,2024-12-05 11:00:00,12518,12535
OCO,2024-12-01 23:00:00,2024-12-02 11:00:00,2024-12-02 02:00:00,2024-12-02 09:00:00,0.25,2024-12-02 06:00:00,12442,12454
OCO,2024-11-20 09:00:00,2024-11-22 02:00:00,2024-11-20 14:00:00,2024-11-21 23:00:00,0.13,2024-11-21 02:00:00,12164,12205
OCOI,2024-05-07 10:00:00,2024-05-10 12:00:00,2024-05-08 07:00:00,2024-05-09 10:00:00,0.11,2024-05-08 23:00:00,7437,7511
OCO,2024-05-02 06:00:00,2024-05-05 13:00:00,2024-05-03 08:00:00,2024-05-05 06:00:00,0.11,2024-05-03 20:00:00,7313,7392
OCO,2024-04-14 03:00:00,2024-04-16 15:00:00,2024-04-14 08:00:00,2024-04-16 07:00:00,0.09,2024-04-15 07:00:00,6878,6938
OCOI,2024-03-18 21:00:00,2024-03-21 02:00:00,2024-03-19 09:00:00,2024-03-20 16:00:00,0.10,2024-03-20 05:00:00,6248,6301
OCO,2024-03-15 09:00:00,2024-03-17 01:00:00,2024-03-15 19:00:00,2024-03-16 21:00:00,0.12,2024-03-16 08:00:00,6164,6204
OCOI,2024-03-14 23:00:00,2024-03-16 08:00:00,2024-03-15 05:00:00,2024-03-15 21:00:00,0.11,2024-03-15 09:00:00,6154,6187
OCO,2024-03-11 01:00:00,2024-03-12 17:00:00,2024-03-11 10:00:00,2024-03-12 13:00:00,0.13,2024-03-12 02:00:00,6060,6100
OCO,2024-01-03 14:00:00,2024-01-05 17:00:00,2024-01-03 16:00:00,2024-01-04 21:00:00,0.09,2024-01-03 22:00:00,4441,4492
OCOI,2023-12-26 12:00:00,2023-12-28 11:00:00,2023-12-26 18:00:00,2023-12-28 07:00:00,0.09,2023-12-27 03:00:00,4247,4294
