tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,preco_ombro1,preco_ombro2
OCO,2024-12-20 04:00:00,2024-12-23 08:00:00,98289.18,2024-12-21 12:00:00,97438.10,95668.95
OCO,2024-12-16 04:00:00,2024-12-19 08:00:00,106839.61,2024-12-17 08:00:00,104582.20,101729.48
OCOI,2024-12-12 08:00:00,2024-12-14 20:00:00,99757.49,2024-12-13 00:00:00,100560.72,101425.80
OCOI,2024-12-10 00:00:00,2024-12-12 08:00:00,96099.11,2024-12-10 20:00:00,97090.46,100560.72
OCO,2024-12-02 20:00:00,2024-12-07 00:00:00,102713.65,2024-12-05 08:00:00,96291.94,100318.38
OCOI,2024-12-02 08:00:00,2024-12-06 04:00:00,95399.91,2024-12-03 16:00:00,95957.05,97659.95
OCO,2024-11-27 20:00:00,2024-11-30 20:00:00,97730.93,2024-11-29 20:00:00,96167.71,96751.01
OCOI,2024-11-24 16:00:00,2024-11-28 16:00:00,92074.85,2024-11-27 00:00:00,96598.37,95229.74
OCO,2024-11-19 20:00:00,2024-11-24 04:00:00,99064.27,2024-11-22 20:00:00,92698.07,98157.28
OCOI,2024-11-14 00:00:00,2024-11-17 20:00:00,87704.41,2024-11-15 04:00:00,90333.57,90076.87
OCOI,2024-11-03 12:00:00,2024-11-07 08:00:00,67915.88,2024-11-05 00:00:00,68258.19,74894.07
OCOI,2024-10-19 16:00:00,2024-10-26 00:00:00,66297.40,2024-10-23 16:00:00,68155.21,66766.66
OCOI,2024-10-10 04:00:00,2024-10-13 16:00:00,60174.01,2024-10-11 00:00:00,60752.00,62490.52
OCO,2024-10-05 12:00:00,2024-10-10 08:00:00,63421.56,2024-10-07 12:00:00,62149.23,60955.52
OCOI,2024-09-18 00:00:00,2024-09-21 00:00:00,59807.11,2024-09-18 16:00:00,60292.65,63002.01
OCOI,2024-09-14 16:00:00,2024-09-18 00:00:00,58027.61,2024-09-16 20:00:00,59817.74,60292.65
OCOI,2024-09-05 20:00:00,2024-09-08 00:00:00,53766.33,2024-09-07 00:00:00,56039.60,54310.64
OCO,2024-08-28 16:00:00,2024-08-31 04:00:00,60183.91,2024-08-29 12:00:00,59373.04,59150.94
OCOI,2024-08-17 04:00:00,2024-08-20 20:00:00,58537.04,2024-08-19 12:00:00,59115.25,59107.78
OCOI,2024-08-15 08:00:00,2024-08-17 04:00:00,57533.95,2024-08-16 00:00:00,58423.50,59115.25
OCO,2024-08-12 16:00:00,2024-08-15 12:00:00,61089.85,2024-08-14 08:00:00,59673.06,58851.54
OCOI,2024-08-09 16:00:00,2024-08-13 08:00:00,58653.29,2024-08-12 04:00:00,60441.36,59025.79
OCO,2024-07-27 16:00:00,2024-07-31 12:00:00,69490.39,2024-07-29 08:00:00,68414.09,66209.52
OCOI,2024-07-24 00:00:00,2024-07-28 12:00:00,64125.56,2024-07-25 08:00:00,65842.61,67687.18
OCOI,2024-07-17 20:00:00,2024-07-20 08:00:00,63709.30,2024-07-18 20:00:00,64513.82,66604.21
OCO,2024-07-16 00:00:00,2024-07-18 08:00:00,65399.19,2024-07-17 04:00:00,64338.53,64773.88
OCOI,2024-07-11 00:00:00,2024-07-13 00:00:00,57053.65,2024-07-12 08:00:00,57576.54,57823.70
OCO,2024-07-08 16:00:00,2024-07-11 08:00:00,58535.81,2024-07-10 08:00:00,56453.65,58180.58
OCOI,2024-06-27 04:00:00,2024-07-01 16:00:00,60358.58,2024-06-29 00:00:00,60839.60,62867.50
OCOI,2024-06-21 16:00:00,2024-06-27 04:00:00,60071.99,2024-06-24 20:00:00,63831.99,60839.60
OCO,2024-06-19 08:00:00,2024-06-23 08:00:00,65693.02,2024-06-20 08:00:00,65315.05,64363.65
OCO,2024-05-26 04:00:00,2024-05-29 00:00:00,69648.88,2024-05-27 20:00:00,69206.97,68463.45
OCOI,2024-05-23 00:00:00,2024-05-27 08:00:00,67429.91,2024-05-24 08:00:00,69417.51,68611.13
OCO,2024-05-19 08:00:00,2024-05-22 12:00:00,71184.66,2024-05-21 04:00:00,67277.82,70010.40
OCOI,2024-04-29 08:00:00,2024-05-05 08:00:00,57164.45,2024-05-01 16:00:00,62371.41,63618.99
OCOI,2024-04-16 16:00:00,2024-04-19 00:00:00,60950.97,2024-04-17 20:00:00,62616.61,62949.83
OCO,2024-04-07 12:00:00,2024-04-11 04:00:00,71920.41,2024-04-08 16:00:00,69463.25,70748.05
OCOI,2024-03-31 00:00:00,2024-04-04 00:00:00,65445.51,2024-04-02 20:00:00,69849.83,65868.70
OCO,2024-03-30 16:00:00,2024-04-03 08:00:00,71000.21,2024-04-01 00:00:00,70069.07,66146.19
OCO,2024-03-27 08:00:00,2024-03-30 16:00:00,70973.27,2024-03-28 20:00:00,70104.61,70069.07
OCOI,2024-03-26 20:00:00,2024-03-29 20:00:00,69025.71,2024-03-27 20:00:00,69932.64,69594.52
OCOI,2024-03-22 00:00:00,2024-03-24 04:00:00,63750.90,2024-03-23 00:00:00,65631.13,64216.18
OCOI,2024-03-17 04:00:00,2024-03-22 00:00:00,62210.17,2024-03-20 04:00:00,65818.53,65631.13
OCO,2024-03-11 20:00:00,2024-03-16 04:00:00,73216.22,2024-03-14 00:00:00,72051.81,69388.62
OCO,2024-03-02 00:00:00,2024-03-06 16:00:00,68024.27,2024-03-05 00:00:00,62341.10,66863.38
OCOI,2024-02-15 20:00:00,2024-02-20 04:00:00,51359.40,2024-02-17 20:00:00,51955.38,51730.15
OCOI,2024-01-31 08:00:00,2024-02-05 00:00:00,42069.99,2024-02-01 08:00:00,42865.27,42628.85
OCO,2024-01-28 12:00:00,2024-01-31 16:00:00,43475.64,2024-01-30 16:00:00,42371.72,43097.32
OCOI,2024-01-19 00:00:00,2024-01-25 20:00:00,39017.06,2024-01-23 16:00:00,41075.39,39906.31
OCO,2024-01-14 12:00:00,2024-01-18 04:00:00,43187.63,2024-01-16 20:00:00,42906.46,42711.36
OCOI,2024-01-14 00:00:00,2024-01-17 16:00:00,42326.02,2024-01-15 00:00:00,42771.03,42577.31
OCO,2024-01-11 00:00:00,2024-01-13 12:00:00,46827.27,2024-01-11 16:00:00,46541.00,42957.88
OCO,2024-01-07 16:00:00,2024-01-11 00:00:00,46984.73,2024-01-09 00:00:00,44137.02,46541.00
OCO,2023-12-31 16:00:00,2024-01-04 20:00:00,45454.95,2024-01-02 08:00:00,42518.97,44113.71
OCOI,2023-12-27 00:00:00,2024-01-01 04:00:00,41951.01,2023-12-30 08:00:00,42286.87,42347.44
OCOI,2023-12-15 20:00:00,2023-12-20 00:00:00,41070.49,2023-12-18 08:00:00,41940.33,42325.30
OCO,2023-12-12 08:00:00,2023-12-16 16:00:00,42973.07,2023-12-15 00:00:00,41742.94,42394.64
OCOI,2023-12-12 00:00:00,2023-12-15 20:00:00,40963.54,2023-12-13 08:00:00,41247.17,41940.33
OCO,2023-12-07 00:00:00,2023-12-12 08:00:00,44171.20,2023-12-09 04:00:00,43889.00,41742.94
OCOI,2023-11-23 20:00:00,2023-11-30 20:00:00,36917.02,2023-11-27 16:00:00,37184.49,37685.84
OCO,2023-11-10 20:00:00,2023-11-17 08:00:00,37619.93,2023-11-16 00:00:00,37221.39,36380.28
OCOI,2023-11-10 00:00:00,2023-11-16 20:00:00,35409.88,2023-11-15 00:00:00,36608.46,36172.55
OCOI,2023-11-06 04:00:00,2023-11-08 12:00:00,34773.00,2023-11-07 12:00:00,34988.87,35267.33
OCO,2023-11-01 00:00:00,2023-11-05 08:00:00,35439.86,2023-11-02 04:00:00,34537.43,35204.60
OCO,2023-10-24 12:00:00,2023-10-29 20:00:00,34727.10,2023-10-25 20:00:00,34270.12,34522.61
OCOI,2023-10-05 20:00:00,2023-10-19 00:00:00,26713.64,2023-10-12 20:00:00,27486.20,28289.57
OCO,2023-09-29 04:00:00,2023-10-05 00:00:00,28202.62,2023-10-02 08:00:00,27052.55,27703.57
OCO,2023-09-18 16:00:00,2023-09-26 00:00:00,27285.24,2023-09-19 16:00:00,27102.93,26334.09
OCOI,2023-09-06 16:00:00,2023-09-13 04:00:00,25090.67,2023-09-11 20:00:00,25654.10,25856.24
OCO,2023-08-27 20:00:00,2023-09-04 00:00:00,27665.31,2023-08-30 00:00:00,26102.94,25986.83
OCO,2023-08-20 20:00:00,2023-08-27 20:00:00,26501.53,2023-08-24 00:00:00,26137.56,26102.94
OCO,2023-07-31 08:00:00,2023-08-03 20:00:00,29615.70,2023-08-02 04:00:00,29400.45,29226.79
OCOI,2023-07-28 08:00:00,2023-08-03 08:00:00,28871.16,2023-08-01 08:00:00,29195.91,29096.03
OCO,2023-07-12 08:00:00,2023-07-20 08:00:00,31542.48,2023-07-14 00:00:00,30705.51,30152.36
OCO,2023-06-30 08:00:00,2023-07-06 08:00:00,31210.03,2023-07-04 00:00:00,30816.47,30705.68
OCOI,2023-06-27 00:00:00,2023-06-30 20:00:00,30125.19,2023-06-29 00:00:00,30321.56,30326.54
