tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,preco_ombro1,preco_ombro2
OCO,2025-06-19 08:00:00,2025-06-21 12:00:00,105500.17,2025-06-20 08:00:00,104870.47,103656.58
OCO,2025-06-15 04:00:00,2025-06-18 08:00:00,107649.15,2025-06-17 00:00:00,105497.98,105008.84
OCOI,2025-06-03 08:00:00,2025-06-09 04:00:00,102080.07,2025-06-06 00:00:00,105359.49,105690.38
OCOI,2025-05-28 20:00:00,2025-06-01 08:00:00,103662.93,2025-05-31 08:00:00,107347.78,104296.49
OCO,2025-04-30 08:00:00,2025-05-06 04:00:00,97115.51,2025-05-02 16:00:00,94956.16,94541.73
OCO,2025-04-23 04:00:00,2025-04-26 20:00:00,95066.20,2025-04-25 20:00:00,93515.68,94453.56
OCOI,2025-04-14 20:00:00,2025-04-17 00:00:00,83552.84,2025-04-16 04:00:00,84504.99,84137.47
OCO,2025-04-14 08:00:00,2025-04-16 20:00:00,85523.20,2025-04-15 08:00:00,84641.30,84432.26
OCO,2025-04-10 00:00:00,2025-04-14 08:00:00,85183.27,2025-04-13 00:00:00,82138.65,84641.30
OCOI,2025-04-07 08:00:00,2025-04-10 20:00:00,76017.04,2025-04-09 00:00:00,76428.25,79330.47
OCO,2025-04-04 04:00:00,2025-04-06 04:00:00,83797.48,2025-04-05 00:00:00,83274.41,83262.53
OCOI,2025-04-03 04:00:00,2025-04-04 08:00:00,82380.01,2025-04-03 16:00:00,83183.11,83116.82
OCO,2025-04-01 20:00:00,2025-04-03 08:00:00,86090.01,2025-04-02 16:00:00,85097.76,83330.09
OCOI,2025-03-29 16:00:00,2025-04-01 00:00:00,81830.40,2025-03-31 08:00:00,82362.01,82679.33
OCO,2025-03-17 20:00:00,2025-03-22 08:00:00,86177.89,2025-03-20 04:00:00,84039.21,84229.64
OCOI,2025-03-16 16:00:00,2025-03-21 12:00:00,82192.43,2025-03-18 16:00:00,82945.96,83821.32
OCOI,2025-03-12 12:00:00,2025-03-15 04:00:00,80795.40,2025-03-13 20:00:00,82361.84,84095.79
OCOI,2025-03-10 04:00:00,2025-03-12 12:00:00,79010.13,2025-03-11 00:00:00,81660.03,82361.84
OCO,2025-03-05 00:00:00,2025-03-07 12:00:00,91422.45,2025-03-06 08:00:00,87539.84,88566.18
OCOI,2025-03-01 12:00:00,2025-03-05 04:00:00,83263.57,2025-03-04 12:00:00,84691.71,87353.43
OCO,2025-03-01 08:00:00,2025-03-05 00:00:00,93440.83,2025-03-03 00:00:00,84851.07,87539.84
OCOI,2025-02-27 00:00:00,2025-03-01 12:00:00,79916.35,2025-02-28 08:00:00,84304.66,84691.71
OCO,2025-02-18 00:00:00,2025-02-22 16:00:00,98347.49,2025-02-21 08:00:00,95841.92,96618.69
OCOI,2025-02-17 20:00:00,2025-02-22 00:00:00,95036.38,2025-02-18 20:00:00,95644.63,95933.73
OCO,2025-02-09 08:00:00,2025-02-13 00:00:00,98031.36,2025-02-11 08:00:00,96997.37,97520.94
OCOI,2025-01-31 04:00:00,2025-02-04 12:00:00,94888.59,2025-02-03 08:00:00,104430.86,99019.40
OCO,2025-01-28 12:00:00,2025-01-31 12:00:00,105557.27,2025-01-30 16:00:00,102722.70,104826.18
OCOI,2025-01-25 12:00:00,2025-01-29 00:00:00,99720.22,2025-01-27 12:00:00,104636.43,101933.83
OCO,2025-01-23 20:00:00,2025-01-26 16:00:00,105733.87,2025-01-24 16:00:00,104308.73,104950.55
OCOI,2025-01-11 08:00:00,2025-01-16 12:00:00,91796.08,2025-01-13 16:00:00,94314.53,99353.43
OCOI,2025-01-05 16:00:00,2025-01-11 08:00:00,92748.30,2025-01-10 00:00:00,97887.85,94314.53
OCO,2025-01-05 04:00:00,2025-01-11 00:00:00,102085.66,2025-01-06 20:00:00,98220.38,94731.66
OCO,2024-12-25 04:00:00,2024-12-27 00:00:00,99097.15,2024-12-26 00:00:00,98223.32,96000.38
OCOI,2024-12-22 20:00:00,2024-12-24 08:00:00,93542.89,2024-12-23 20:00:00,95028.81,94179.60
