ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim,label_humano,altura_rel_cabeca,ratio_ombro_esquerdo,ratio_ombro_direito,ratio_simetria_altura_ombros,neckline_slope
AVAX-USD,4h,OCO,2023-11-18 16:00:00,2023-11-21 12:00:00,16,240,2023-11-20 00:00:00,22.7000,862,878,1.0000,1.5568,0.4198,0.4994,0.8407,-0.3331
BTC-USD,1d,OCO,2024-05-27 00:00:00,2024-06-17 00:00:00,21,1440,2024-06-06 00:00:00,70919.9900,2529,2550,1.0000,,,,,
BTC-USD,1d,OCOI,2024-03-30 00:00:00,2024-04-10 00:00:00,11,1440,2024-04-03 00:00:00,65713.8900,2471,2482,0.0000,4798.0226,0.1573,0.1308,0.8314,-2.9916
BTC-USD,1d,OCOI,2024-03-19 00:00:00,2024-03-30 00:00:00,11,1440,2024-03-23 00:00:00,63920.4800,2460,2471,0.0000,4090.3660,0.1622,0.2215,0.7325,654.1586
BTC-USD,1d,OCO,2023-11-20 00:00:00,2023-12-14 00:00:00,24,1440,2023-12-09 00:00:00,43946.2900,2340,2364,0.0000,,,,,
BTC-USD,1d,OCOI,2023-05-25 00:00:00,2023-07-07 00:00:00,43,1440,2023-06-15 00:00:00,25350.5400,2161,2204,0.0000,,,,,
BTC-USD,1d,OCOI,2023-02-10 00:00:00,2023-03-28 00:00:00,46,1440,2023-03-10 00:00:00,20275.1300,2057,2103,0.0000,,,,,
BTC-USD,1d,OCOI,2021-10-23 00:00:00,2021-11-01 00:00:00,9,1440,2021-10-27 00:00:00,59423.0900,1582,1591,1.0000,2591.4676,0.3524,0.3573,0.9862,14.6137
BTC-USD,1d,OCOI,2021-08-12 00:00:00,2021-08-26 00:00:00,14,1440,2021-08-18 00:00:00,44748.2700,1510,1524,0.0000,3580.7561,0.5564,0.5991,0.9286,220.9742
BTC-USD,1d,OCO,2020-01-18 00:00:00,2020-03-06 00:00:00,48,1440,2020-02-13 00:00:00,10270.2200,938,986,1.0000,634.8664,0.5819,0.0938,0.1612,44.2343
BTC-USD,1d,OCO,2018-02-20 00:00:00,2018-03-11 00:00:00,29,1440,2018-03-05 00:00:00,11542.9500,241,270,1.0000,2196.1265,0.6059,0.1767,0.2917,-49.0097
BTC-USD,4h,OCO,2025-02-27 08:00:00,2025-03-06 04:00:00,41,240,2025-03-02 20:00:00,93811.8200,3685,3726,1.0000,9776.6774,0.0258,0.4631,0.0558,-415.7850
BTC-USD,4h,OCO,2025-01-19 16:00:00,2025-01-21 20:00:00,13,240,2025-01-20 08:00:00,107560.6100,3453,3466,1.0000,5941.1735,0.7300,0.6204,0.8498,893.1395
BTC-USD,4h,OCOI,2025-01-09 20:00:00,2025-01-16 12:00:00,40,240,2025-01-13 12:00:00,91569.8700,3394,3434,1.0000,4057.2344,0.0582,0.1102,0.5280,979.7016
BTC-USD,4h,OCO,2024-12-14 00:00:00,2024-12-19 08:00:00,45,240,2024-12-17 08:00:00,106838.4600,3220,3265,1.0000,3900.9067,0.0500,0.4717,0.1061,-1382.3950
BTC-USD,4h,OCOI,2024-03-17 00:00:00,2024-03-23 00:00:00,36,240,2024-03-20 00:00:00,61814.5500,1601,1637,1.0000,3201.6821,0.1164,1.2072,0.0965,2353.3315
ETH-USD,1d,OCO,2025-05-22 00:00:00,2025-06-04 00:00:00,13,1440,2025-05-28 00:00:00,2672.6400,2750,2763,1.0000,143.5422,0.5572,0.4939,0.8863,0.1388
ETH-USD,1d,OCOI,2024-06-29 00:00:00,2024-07-18 00:00:00,19,1440,2024-07-08 00:00:00,2974.0600,2423,2442,0.0000,476.5174,0.1245,0.1322,0.9414,1.9945
ETH-USD,1d,OCO,2024-05-21 00:00:00,2024-06-05 00:00:00,11,1440,2024-05-28 00:00:00,3866.1300,2385,2396,1.0000,120.3698,0.2730,0.3198,0.8536,2.5588
ETH-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-30 00:00:00,10,1440,2024-03-23 00:00:00,3335.1400,2322,2332,0.0000,202.4520,0.7433,0.7316,0.9843,17.2004
ETH-USD,1d,OCOI,2023-12-11 00:00:00,2023-12-27 00:00:00,14,1440,2023-12-20 00:00:00,2189.8900,2223,2237,1.0000,118.1698,0.5824,0.6389,0.9116,3.2413
ETH-USD,1d,OCOI,2023-02-25 00:00:00,2023-03-16 00:00:00,19,1440,2023-03-10 00:00:00,1433.9100,1933,1952,1.0000,245.8214,0.1187,0.1273,0.9322,3.0443
ETH-USD,1d,OCO,2022-09-29 00:00:00,2022-10-18 00:00:00,19,1440,2022-10-05 00:00:00,1357.4800,1784,1803,0.0000,66.4170,0.6001,0.6349,0.9453,-0.9347
ETH-USD,1d,OCO,2022-07-28 00:00:00,2022-08-26 00:00:00,27,1440,2022-08-13 00:00:00,1969.2900,1722,1749,1.0000,320.1758,0.0272,0.3761,0.0724,-7.7315
ETH-USD,1d,OCO,2021-04-06 00:00:00,2021-04-22 00:00:00,16,1440,2021-04-15 00:00:00,2477.1100,1243,1259,0.0000,337.9341,0.3390,0.4013,0.8447,15.6216
ETH-USD,1d,OCOI,2020-09-06 00:00:00,2020-10-21 00:00:00,55,1440,2020-09-23 00:00:00,332.8100,1031,1086,1.0000,42.6970,0.6052,0.1582,0.2615,-2.2370
