tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-01 10:00:00,2025-06-03 09:00:00,13.69,2025-06-02 14:00:00,16933,16980
OCOI,2025-04-23 16:00:00,2025-04-25 02:00:00,14.27,2025-04-24 08:00:00,16003,16037
OCO,2025-01-27 15:00:00,2025-01-29 07:00:00,24.46,2025-01-28 05:00:00,13938,13978
OCOI,2025-01-25 01:00:00,2025-01-26 00:00:00,24.86,2025-01-25 09:00:00,13876,13899
OCOI,2025-01-20 18:00:00,2025-01-21 21:00:00,23.98,2025-01-21 05:00:00,13773,13800
OCO,2025-01-19 02:00:00,2025-01-20 08:00:00,26.47,2025-01-19 18:00:00,13733,13763
OCO,2024-12-23 04:00:00,2024-12-23 17:00:00,23.13,2024-12-23 11:00:00,13088,13101
OCOI,2024-12-15 13:00:00,2024-12-16 04:00:00,28.46,2024-12-15 22:00:00,12905,12920
OCOI,2024-12-12 13:00:00,2024-12-13 01:00:00,27.45,2024-12-12 19:00:00,12833,12845
OCO,2024-12-07 14:00:00,2024-12-09 05:00:00,27.00,2024-12-08 13:00:00,12714,12753
OCO,2024-12-06 23:00:00,2024-12-07 14:00:00,26.31,2024-12-07 04:00:00,12699,12714
OCOI,2024-11-26 00:00:00,2024-11-27 13:00:00,16.54,2024-11-26 11:00:00,12436,12473
OCOI,2024-11-20 04:00:00,2024-11-21 21:00:00,14.07,2024-11-21 03:00:00,12296,12337
OCOI,2024-11-14 15:00:00,2024-11-15 16:00:00,12.96,2024-11-15 05:00:00,12163,12188
OCO,2024-07-20 21:00:00,2024-07-23 09:00:00,14.90,2024-07-21 22:00:00,9361,9421
OCO,2024-06-19 07:00:00,2024-06-21 11:00:00,14.68,2024-06-20 11:00:00,8603,8655
OCO,2024-05-28 23:00:00,2024-05-30 02:00:00,19.08,2024-05-29 13:00:00,8091,8118
OCO,2024-03-22 20:00:00,2024-03-24 12:00:00,18.39,2024-03-23 11:00:00,6480,6520
OCOI,2024-03-17 01:00:00,2024-03-17 13:00:00,17.74,2024-03-17 07:00:00,6341,6353
OCOI,2024-03-15 05:00:00,2024-03-15 21:00:00,19.18,2024-03-15 09:00:00,6297,6313
OCO,2024-03-14 02:00:00,2024-03-14 17:00:00,21.57,2024-03-14 12:00:00,6270,6285
OCO,2024-03-02 07:00:00,2024-03-03 16:00:00,21.46,2024-03-02 17:00:00,5987,6020
OCO,2024-02-17 22:00:00,2024-02-19 19:00:00,20.22,2024-02-18 22:00:00,5666,5711
OCO,2024-01-23 16:00:00,2024-01-25 00:00:00,14.32,2024-01-24 11:00:00,5060,5092
OCO,2024-01-01 01:00:00,2024-01-03 06:00:00,15.99,2024-01-02 09:00:00,4517,4570
OCO,2023-12-25 05:00:00,2023-12-26 12:00:00,15.74,2023-12-26 04:00:00,4353,4384
OCO,2023-12-05 18:00:00,2023-12-06 09:00:00,16.01,2023-12-06 01:00:00,3886,3901
OCO,2023-11-08 23:00:00,2023-11-09 23:00:00,15.68,2023-11-09 14:00:00,3243,3267
