tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-03-20 00:00:00,2025-04-01 00:00:00,15.38,2025-03-27 00:00:00,2687,2699
OCO,2024-12-08 00:00:00,2024-12-24 00:00:00,29.17,2024-12-15 00:00:00,2585,2601
OCO,2024-07-16 00:00:00,2024-07-27 00:00:00,14.54,2024-07-21 00:00:00,2440,2451
OCO,2023-01-23 00:00:00,2023-02-04 00:00:00,7.30,2023-01-29 00:00:00,1900,1912
OCOI,2022-10-15 00:00:00,2022-11-02 00:00:00,6.72,2022-10-20 00:00:00,1800,1818
OCO,2022-09-05 00:00:00,2022-09-17 00:00:00,7.96,2022-09-11 00:00:00,1760,1772
OCO,2022-01-31 00:00:00,2022-02-16 00:00:00,18.65,2022-02-08 00:00:00,1543,1559
OCOI,2021-06-22 00:00:00,2021-07-02 00:00:00,16.94,2021-06-26 00:00:00,1320,1330
OCO,2020-08-10 00:00:00,2020-08-23 00:00:00,18.95,2020-08-16 00:00:00,1004,1017
