tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-06-17 16:00:00,2025-06-19 01:00:00,2025-06-17 20:00:00,2025-06-18 21:00:00,476.84,2025-06-18 05:00:00,17322,17355
OCOI,2025-06-01 20:00:00,2025-06-04 10:00:00,2025-06-02 04:00:00,2025-06-04 00:00:00,398.81,2025-06-02 19:00:00,16942,17004
OCOI,2025-05-09 08:00:00,2025-05-10 23:00:00,2025-05-09 10:00:00,2025-05-10 12:00:00,406.25,2025-05-09 16:00:00,16378,16417
OCOI,2025-05-02 15:00:00,2025-05-07 04:00:00,2025-05-05 02:00:00,2025-05-06 13:00:00,351.47,2025-05-05 15:00:00,16217,16326
OCO,2025-01-27 11:00:00,2025-01-29 16:00:00,2025-01-27 15:00:00,2025-01-29 07:00:00,428.95,2025-01-28 05:00:00,13933,13986
OCO,2025-01-16 14:00:00,2025-01-19 11:00:00,2025-01-16 17:00:00,2025-01-19 02:00:00,497.53,2025-01-17 20:00:00,13672,13741
OCO,2024-12-22 15:00:00,2024-12-23 15:00:00,2024-12-22 18:00:00,2024-12-23 10:00:00,453.71,2024-12-23 04:00:00,13074,13098
OCOI,2024-12-03 05:00:00,2024-12-04 08:00:00,2024-12-03 10:00:00,2024-12-04 03:00:00,529.92,2024-12-03 15:00:00,12608,12635
OCO,2024-11-26 13:00:00,2024-11-29 08:00:00,2024-11-26 17:00:00,2024-11-29 03:00:00,519.53,2024-11-27 23:00:00,12448,12515
OCOI,2024-11-25 11:00:00,2024-11-27 23:00:00,2024-11-26 00:00:00,2024-11-26 19:00:00,482.31,2024-11-26 13:00:00,12422,12482
OCO,2024-11-24 15:00:00,2024-11-26 13:00:00,2024-11-24 23:00:00,2024-11-26 02:00:00,524.22,2024-11-25 11:00:00,12402,12448
OCO,2024-11-06 14:00:00,2024-11-09 04:00:00,2024-11-07 02:00:00,2024-11-08 23:00:00,384.50,2024-11-07 21:00:00,11969,12031
OCOI,2024-10-15 01:00:00,2024-10-17 01:00:00,2024-10-15 12:00:00,2024-10-16 08:00:00,351.64,2024-10-15 21:00:00,11428,11476
OCO,2024-10-05 20:00:00,2024-10-10 00:00:00,2024-10-07 02:00:00,2024-10-08 16:00:00,331.19,2024-10-07 17:00:00,11207,11307
OCOI,2024-09-04 16:00:00,2024-09-10 20:00:00,2024-09-05 20:00:00,2024-09-07 22:00:00,292.58,2024-09-06 21:00:00,10459,10607
OCO,2024-08-11 23:00:00,2024-08-15 07:00:00,2024-08-12 15:00:00,2024-08-13 17:00:00,359.77,2024-08-13 01:00:00,9890,9970
OCO,2024-08-05 12:00:00,2024-08-07 00:00:00,2024-08-05 16:00:00,2024-08-06 16:00:00,324.50,2024-08-06 01:00:00,9735,9771
OCO,2024-04-25 14:00:00,2024-04-27 11:00:00,2024-04-25 18:00:00,2024-04-27 04:00:00,490.27,2024-04-26 19:00:00,7289,7334
OCOI,2024-04-18 15:00:00,2024-04-19 20:00:00,2024-04-18 17:00:00,2024-04-19 15:00:00,456.86,2024-04-19 02:00:00,7122,7151
OCOI,2024-03-15 00:00:00,2024-03-16 00:00:00,2024-03-15 05:00:00,2024-03-15 21:00:00,402.63,2024-03-15 09:00:00,6291,6315
OCO,2024-03-04 04:00:00,2024-03-05 20:00:00,2024-03-04 06:00:00,2024-03-05 13:00:00,468.68,2024-03-04 23:00:00,6031,6071
OCOI,2024-02-27 06:00:00,2024-02-29 05:00:00,2024-02-27 08:00:00,2024-02-28 22:00:00,291.82,2024-02-28 03:00:00,5889,5936
OCOI,2024-01-12 04:00:00,2024-01-16 22:00:00,2024-01-13 17:00:00,2024-01-15 15:00:00,248.03,2024-01-15 00:00:00,4783,4897
OCOI,2023-06-30 22:00:00,2023-07-03 03:00:00,2023-07-01 05:00:00,2023-07-02 18:00:00,271.77,2023-07-02 04:00:00,98,151
