tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2024-12-27 00:00:00,2025-01-13 00:00:00,2024-12-29 00:00:00,2025-01-11 00:00:00,719.33,2025-01-06 00:00:00,2604,2621
OCOI,2024-03-30 00:00:00,2024-05-06 00:00:00,2024-04-03 00:00:00,2024-05-02 00:00:00,536.12,2024-04-17 00:00:00,2332,2369
OCOI,2023-09-19 00:00:00,2023-11-07 00:00:00,2023-09-25 00:00:00,2023-10-26 00:00:00,205.63,2023-10-13 00:00:00,2139,2188
OCOI,2023-06-14 00:00:00,2023-07-14 00:00:00,2023-06-15 00:00:00,2023-07-07 00:00:00,231.94,2023-06-29 00:00:00,2042,2072
OCOI,2022-03-02 00:00:00,2022-04-04 00:00:00,2022-03-07 00:00:00,2022-03-21 00:00:00,367.29,2022-03-13 00:00:00,1573,1606
