tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-10 14:00:00,2025-06-14 03:00:00,2025-06-12 11:00:00,2025-06-13 16:00:00,0.27,2025-06-13 01:00:00,17151,17236
OCOI,2025-05-12 14:00:00,2025-05-14 19:00:00,2025-05-12 19:00:00,2025-05-14 09:00:00,0.26,2025-05-13 06:00:00,16455,16508
OCO,2025-05-09 23:00:00,2025-05-12 06:00:00,2025-05-10 09:00:00,2025-05-12 03:00:00,0.27,2025-05-11 04:00:00,16392,16447
OCOI,2025-03-11 08:00:00,2025-03-14 01:00:00,2025-03-11 15:00:00,2025-03-13 21:00:00,0.22,2025-03-12 15:00:00,14961,15026
OCOI,2025-01-19 03:00:00,2025-01-22 17:00:00,2025-01-19 12:00:00,2025-01-21 01:00:00,0.22,2025-01-20 01:00:00,13732,13818
OCO,2025-01-16 15:00:00,2025-01-18 21:00:00,2025-01-16 20:00:00,2025-01-18 15:00:00,0.25,2025-01-18 03:00:00,13672,13726
