tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-04-28 00:00:00,2025-05-02 00:00:00,0.24,2025-04-30 04:00:00,4027,4051
OCOI,2025-03-22 12:00:00,2025-03-28 08:00:00,0.23,2025-03-25 04:00:00,3808,3843
OCO,2025-03-06 04:00:00,2025-03-10 12:00:00,0.25,2025-03-08 04:00:00,3710,3736
OCOI,2024-12-28 16:00:00,2025-01-03 08:00:00,0.25,2024-12-31 04:00:00,3305,3339
