tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-03-03 00:00:00,2025-03-12 00:00:00,393.82,2025-03-06 00:00:00,2670,2679
OCOI,2025-02-22 00:00:00,2025-03-04 00:00:00,291.61,2025-02-25 00:00:00,2661,2671
OCOI,2024-06-24 00:00:00,2024-07-18 00:00:00,323.05,2024-07-08 00:00:00,2418,2442
OCO,2024-04-01 00:00:00,2024-04-15 00:00:00,690.03,2024-04-07 00:00:00,2334,2348
OCO,2021-07-31 00:00:00,2021-08-21 00:00:00,696.15,2021-08-15 00:00:00,1359,1380
OCOI,2021-07-02 00:00:00,2021-08-02 00:00:00,407.63,2021-07-20 00:00:00,1330,1361
OCO,2020-03-25 00:00:00,2020-04-18 00:00:00,261.86,2020-04-09 00:00:00,866,890
OCOI,2019-01-21 00:00:00,2019-02-15 00:00:00,111.79,2019-01-29 00:00:00,437,462
