tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-17 20:00:00,2025-05-25 08:00:00,2025-05-18 12:00:00,2025-05-24 16:00:00,687.26,2025-05-23 00:00:00,4146,4191
OCO,2025-02-26 20:00:00,2025-03-09 20:00:00,2025-02-27 04:00:00,2025-03-06 08:00:00,623.91,2025-03-02 20:00:00,3666,3732
OCO,2024-12-05 04:00:00,2024-12-10 16:00:00,2024-12-05 08:00:00,2024-12-10 08:00:00,758.80,2024-12-07 16:00:00,3164,3197
OCOI,2024-11-24 04:00:00,2024-12-01 12:00:00,2024-11-24 16:00:00,2024-12-01 04:00:00,611.64,2024-11-26 20:00:00,3098,3142
OCO,2024-09-18 12:00:00,2024-10-03 12:00:00,2024-09-23 20:00:00,2024-10-01 08:00:00,610.18,2024-09-28 00:00:00,2698,2788
OCO,2024-09-06 20:00:00,2024-09-18 12:00:00,2024-09-08 08:00:00,2024-09-17 16:00:00,559.21,2024-09-15 16:00:00,2628,2698
OCOI,2024-05-09 04:00:00,2024-05-17 16:00:00,2024-05-11 00:00:00,2024-05-16 16:00:00,567.60,2024-05-14 20:00:00,1904,1955
OCOI,2024-03-17 16:00:00,2024-03-22 04:00:00,2024-03-19 08:00:00,2024-03-20 12:00:00,510.13,2024-03-20 00:00:00,1589,1616
