tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCO,2025-05-17 20:00:00,2025-05-26 20:00:00,2025-05-18 12:00:00,2025-05-26 08:00:00,25.49,2025-05-23 00:00:00,4122,4176
OCO,2025-05-11 16:00:00,2025-05-19 08:00:00,2025-05-12 04:00:00,2025-05-18 12:00:00,26.06,2025-05-14 04:00:00,4085,4131
OCOI,2025-04-13 00:00:00,2025-04-21 08:00:00,2025-04-13 20:00:00,2025-04-20 12:00:00,18.78,2025-04-16 08:00:00,3913,3963
OCOI,2025-02-13 00:00:00,2025-02-22 20:00:00,2025-02-13 20:00:00,2025-02-21 20:00:00,23.32,2025-02-18 16:00:00,3559,3618
OCO,2025-01-09 08:00:00,2025-01-13 12:00:00,2025-01-09 12:00:00,2025-01-12 16:00:00,37.59,2025-01-10 08:00:00,3351,3376
OCO,2024-11-23 20:00:00,2024-11-28 12:00:00,2024-11-24 04:00:00,2024-11-27 12:00:00,45.25,2024-11-25 08:00:00,3072,3100
OCOI,2024-10-01 08:00:00,2024-10-07 04:00:00,2024-10-01 20:00:00,2024-10-05 20:00:00,24.55,2024-10-03 12:00:00,2751,2786
OCOI,2024-08-12 12:00:00,2024-08-24 12:00:00,2024-08-13 08:00:00,2024-08-19 12:00:00,20.11,2024-08-15 20:00:00,2452,2524
OCOI,2024-06-20 08:00:00,2024-06-28 12:00:00,2024-06-22 08:00:00,2024-06-27 00:00:00,23.83,2024-06-24 16:00:00,2133,2182
OCO,2024-03-12 08:00:00,2024-03-15 08:00:00,2024-03-12 20:00:00,2024-03-15 00:00:00,56.76,2024-03-14 04:00:00,1533,1551
OCO,2023-11-18 04:00:00,2023-11-22 00:00:00,2023-11-18 16:00:00,2023-11-21 12:00:00,22.70,2023-11-20 00:00:00,843,865
