tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-05-11 00:00:00,2025-05-28 00:00:00,2025-05-12 00:00:00,2025-05-24 00:00:00,22.43,2025-05-20 00:00:00,1693,1710
OCO,2024-12-22 00:00:00,2025-01-20 00:00:00,2024-12-25 00:00:00,2025-01-17 00:00:00,43.59,2025-01-06 00:00:00,1553,1582
OCO,2024-11-25 00:00:00,2024-12-31 00:00:00,2024-12-08 00:00:00,2024-12-25 00:00:00,52.91,2024-12-13 00:00:00,1526,1562
OCO,2022-11-21 00:00:00,2023-01-01 00:00:00,2022-11-24 00:00:00,2022-12-14 00:00:00,13.76,2022-12-05 00:00:00,791,832
OCO,2022-07-26 00:00:00,2022-09-07 00:00:00,2022-07-29 00:00:00,2022-08-24 00:00:00,29.23,2022-08-13 00:00:00,673,716
OCOI,2022-05-15 00:00:00,2022-06-07 00:00:00,2022-05-21 00:00:00,2022-06-04 00:00:00,22.98,2022-05-27 00:00:00,601,624
