tipo_padrao,data_inicio,data_fim,data_ombro1,data_ombro2,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-03-26 00:00:00,2025-04-24 00:00:00,2025-03-31 00:00:00,2025-04-17 00:00:00,0.00,2025-04-07 00:00:00,1440,1469
OCO,2024-08-11 00:00:00,2024-09-11 00:00:00,2024-08-13 00:00:00,2024-09-10 00:00:00,0.00,2024-08-24 00:00:00,1213,1244
OCO,2023-02-10 00:00:00,2023-03-10 00:00:00,2023-02-11 00:00:00,2023-02-27 00:00:00,0.00,2023-02-15 00:00:00,665,693
OCOI,2022-09-11 00:00:00,2022-11-01 00:00:00,2022-09-21 00:00:00,2022-10-31 00:00:00,0.00,2022-10-18 00:00:00,513,564
