ticker,timeframe,padrao_tipo,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim,data_ombro1,data_ombro2
HBAR-USD,1h,OCO,2024-03-15 09:00:00,2024-03-17 01:00:00,40,60,2024-03-16 08:00:00,0.12,6164,6204,2024-03-15 19:00:00,2024-03-16 21:00:00
HBAR-USD,1h,OCOI,2024-03-14 23:00:00,2024-03-16 08:00:00,33,60,2024-03-15 09:00:00,0.11,6154,6187,2024-03-15 05:00:00,2024-03-15 21:00:00
HBAR-USD,1h,OCO,2024-03-11 01:00:00,2024-03-12 17:00:00,40,60,2024-03-12 02:00:00,0.13,6060,6100,2024-03-11 10:00:00,2024-03-12 13:00:00
HBAR-USD,1h,OCO,2024-01-03 14:00:00,2024-01-05 17:00:00,51,60,2024-01-03 22:00:00,0.09,4441,4492,2024-01-03 16:00:00,2024-01-04 21:00:00
HBAR-USD,1h,OCOI,2023-12-26 12:00:00,2023-12-28 11:00:00,47,60,2023-12-27 03:00:00,0.09,4247,4294,2023-12-26 18:00:00,2023-12-28 07:00:00
HBAR-USD,4h,OCO,2025-05-17 16:00:00,2025-05-27 00:00:00,56,240,2025-05-23 00:00:00,0.21,4111,4167,2025-05-18 12:00:00,2025-05-26 08:00:00
HBAR-USD,4h,OCO,2025-02-06 20:00:00,2025-02-10 20:00:00,24,240,2025-02-09 04:00:00,0.24,3512,3536,2025-02-07 16:00:00,2025-02-10 08:00:00
HBAR-USD,4h,OCOI,2025-02-05 08:00:00,2025-02-09 04:00:00,23,240,2025-02-06 20:00:00,0.23,3503,3526,2025-02-06 00:00:00,2025-02-08 12:00:00
HBAR-USD,4h,OCO,2025-01-29 00:00:00,2025-02-03 04:00:00,31,240,2025-01-30 16:00:00,0.32,3459,3490,2025-01-29 08:00:00,2025-01-31 12:00:00
HBAR-USD,4h,OCO,2024-12-11 04:00:00,2024-12-16 12:00:00,32,240,2024-12-13 20:00:00,0.31,3166,3198,2024-12-12 04:00:00,2024-12-15 20:00:00
HBAR-USD,4h,OCOI,2024-08-12 12:00:00,2024-08-24 20:00:00,74,240,2024-08-16 12:00:00,0.05,2442,2516,2024-08-13 08:00:00,2024-08-21 08:00:00
HBAR-USD,4h,OCO,2024-05-13 04:00:00,2024-06-02 20:00:00,124,240,2024-05-17 08:00:00,0.12,1894,2018,2024-05-14 08:00:00,2024-05-21 00:00:00
HBAR-USD,4h,OCOI,2024-03-31 12:00:00,2024-04-08 20:00:00,50,240,2024-04-05 08:00:00,0.10,1638,1688,2024-04-04 00:00:00,2024-04-08 04:00:00
HBAR-USD,4h,OCO,2024-02-27 20:00:00,2024-03-03 08:00:00,27,240,2024-02-29 08:00:00,0.12,1442,1469,2024-02-28 12:00:00,2024-03-02 04:00:00
HBAR-USD,4h,OCO,2023-11-14 20:00:00,2023-11-18 08:00:00,21,240,2023-11-17 08:00:00,0.06,812,833,2023-11-16 08:00:00,2023-11-18 00:00:00
