ticker,timeframe,strategy,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_contexto_extremos,valid_contexto_tendencia,valid_divergencia_macd,valid_divergencia_obv,valid_divergencia_rsi,valid_divergencia_rsi_strong,valid_estocastico_cross,valid_estocastico_divergencia,valid_estrutura_picos_vales,valid_extremo_cabeca,valid_extremo_secundario_fraco,valid_macd_signal_cross,valid_neckline_plana,valid_neckline_retest_p4,valid_neckline_retest_p6,valid_ombro_direito_fraco,valid_perfil_volume,valid_perfil_volume_decrescente,valid_proeminencia_cabeca,valid_profundidade_vale_pico,valid_simetria_extremos,valid_simetria_ombros,valid_volume_breakout_neckline,p0_idx,p0_preco,p1_idx,p1_preco,p2_idx,p2_preco,p3_idx,p3_preco,p4_idx,p4_preco,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco,retest_p6_idx,retest_p6_preco,p5_idx,p5_preco,p6_idx,p6_preco
LDO-USD,15m,intraday_range,DB,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-31 09:00:00,1.2402308189071873,2025-09-01 05:00:00,1.1551256125404195,2025-09-01 09:00:00,1.2064390784991705,2025-09-01 18:00:00,1.1623152552284834,2025-09-01 18:15:00,1.1706871927369882,,,,,,,,,,,,,,,,
ZIL-USD,15m,intraday_range,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,0.011040611681660368,2025-08-31 04:00:00,0.01163496315453887,2025-09-01 05:00:00,0.01100440157746969,2025-09-01 09:00:00,0.011429329893614915,2025-09-01 17:00:00,0.011063365336087176,,,,,,,,,,,,,,,,
DOGE-USD,1h,intraday_range,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.27294634200835066,2025-08-03 00:00:00,0.1916269540469158,2025-08-14 00:00:00,0.24549919437970946,2025-08-20 00:00:00,0.20911047499485522,2025-09-01 18:00:00,0.2117841233357701,,,,,,,,,,,,,,,,
ETC-USD,1h,intraday_range,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,15.176161369400132,2025-07-21 00:00:00,24.63621267134806,2025-08-03 00:00:00,19.22321911065562,2025-08-23 00:00:00,24.471247382977555,2025-09-01 18:00:00,20.506384771305207,,,,,,,,,,,,,,,,
MANA-USD,1h,intraday_range,DB,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-07-23 00:00:00,0.3546830755549202,2025-08-03 00:00:00,0.2671120512633413,2025-08-14 00:00:00,0.32097410879416804,2025-08-20 00:00:00,0.2722484245926382,2025-09-01 18:00:00,0.2877902103909868,,,,,,,,,,,,,,,,
NEO-USD,1h,intraday_range,DT,99,,,True,True,True,False,True,True,False,False,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,5.018562764687151,2025-07-21 00:00:00,7.543112526217204,2025-08-03 00:00:00,5.656094756942102,2025-08-25 00:00:00,7.759835474340711,2025-09-01 18:00:00,6.4839731639194245,,,,,,,,,,,,,,,,
CHZ-USD,15m,swing_short,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-29 19:00:00,0.03859560272602073,2025-08-31 04:00:00,0.04090894860158172,2025-09-01 05:00:00,0.038921739912525836,2025-09-01 09:00:00,0.04055282579574117,2025-09-01 18:00:00,0.03888680473328703,,,,,,,,,,,,,,,,
CHZ-USD,15m,swing_short,TT,85,,,True,True,False,True,False,False,False,False,True,,,False,True,,True,,,False,,True,True,,False,2025-08-25 21:00:00,0.0378739947319526,2025-08-29 00:00:00,0.040988679800963795,2025-08-29 19:00:00,0.03859560272602073,2025-08-31 04:00:00,0.04090894860158172,2025-09-01 05:00:00,0.038921739912525836,,,,,,,,,,,,,2025-09-01 09:00:00,0.04055282579574117,2025-09-01 18:00:00,0.03888680473328703
DOGE-USD,15m,swing_short,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,0.21034591639348912,2025-08-31 04:00:00,0.22055010591908425,2025-09-01 05:00:00,0.20912153247238016,2025-09-01 09:00:00,0.21882071235087328,2025-09-01 18:00:00,0.210921202418398,,,,,,,,,,,,,,,,
ETH-USD,15m,swing_short,DT,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-29 15:00:00,4279.958551412731,2025-08-31 19:00:00,4487.412108882138,2025-09-01 03:00:00,4379.89575211085,2025-09-01 09:00:00,4476.476296546988,2025-09-01 18:00:00,4324.7946005200465,,,,,,,,,,,,,,,,
FLOW-USD,15m,swing_short,DT,105,,,True,True,True,False,True,True,False,True,True,,False,False,,True,,,,False,,True,True,,False,2025-08-25 22:00:00,0.36841036863181353,2025-08-29 00:00:00,0.4388165228315595,2025-08-30 02:00:00,0.38919234492774246,2025-08-31 17:00:00,0.4489281883639767,2025-09-01 18:00:00,0.4000340762987998,,,,,,,,,,,,,,,,
QNT-USD,15m,swing_short,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-25 22:00:00,100.84497127370618,2025-08-26 20:00:00,107.01340196414402,2025-08-29 21:00:00,101.14888646036644,2025-08-31 04:00:00,106.25818247467203,2025-09-01 05:00:00,100.86558249153889,,,,,,,,,,,,,,,,
SHIB-USD,15m,swing_short,DT,101,,,True,True,False,True,False,False,False,True,True,,False,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,1.2015493201926445e-05,2025-08-31 04:00:00,1.249544549928859e-05,2025-09-01 05:00:00,1.1955358850087715e-05,2025-09-01 09:00:00,1.2537779536747407e-05,2025-09-01 18:00:00,1.2073401205883648e-05,,,,,,,,,,,,,,,,
SHIB-USD,15m,swing_short,TT,80,,,True,True,False,False,False,False,False,False,True,,,False,True,,True,,,True,,True,True,,False,2025-08-25 21:00:00,1.1911872368280424e-05,2025-08-28 15:00:00,1.2670659500153257e-05,2025-08-29 19:00:00,1.2015493201926445e-05,2025-08-31 04:00:00,1.249544549928859e-05,2025-09-01 05:00:00,1.1955358850087715e-05,,,,,,,,,,,,,2025-09-01 09:00:00,1.2537779536747407e-05,2025-09-01 18:00:00,1.2073401205883648e-05
XLM-USD,15m,swing_short,DT,100,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,False,,True,True,,False,2025-08-30 15:00:00,0.3538381028703833,2025-08-31 02:00:00,0.36423970340793765,2025-09-01 05:00:00,0.3462720092182275,2025-09-01 09:00:00,0.3623757837690439,2025-09-01 18:00:00,0.35017385802084655,,,,,,,,,,,,,,,,
XMR-USD,15m,swing_short,DT,91,,,True,True,True,False,False,False,False,True,True,,False,False,,True,,,,True,,True,True,,False,2025-08-29 19:00:00,257.1227731650242,2025-08-30 12:00:00,268.15118134127215,2025-08-30 17:00:00,257.16927982025913,2025-09-01 09:00:00,268.54274968899676,2025-09-01 18:00:00,259.9615918498586,,,,,,,,,,,,,,,,
AVAX-USD,1h,swing_short,DT,105,,,True,True,True,False,True,True,False,True,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,16.504194814921206,2025-07-28 00:00:00,25.960361202926606,2025-08-03 00:00:00,20.893413835769646,2025-08-24 00:00:00,26.197598643676205,2025-09-01 18:00:00,23.477080486358602,,,,,,,,,,,,,,,,
DOT-USD,1h,swing_short,DT,110,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,3.155690434118208,2025-07-23 00:00:00,4.541929356743654,2025-08-03 00:00:00,3.5097263835436174,2025-08-14 00:00:00,4.28768471671229,2025-08-20 00:00:00,3.716261938519478,,,,,,,,,,,,,,,,
ZIL-USD,1h,swing_short,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.013618810088162889,2025-08-03 00:00:00,0.010405770752439541,2025-08-14 00:00:00,0.012497110990006957,2025-08-20 00:00:00,0.01073191529323536,2025-09-01 18:00:00,0.011098778819069902,,,,,,,,,,,,,,,,
AVAX-USD,4h,swing_short,DT,105,,,True,True,True,False,True,True,False,True,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,16.504194814921206,2025-07-28 00:00:00,25.960361202926606,2025-08-03 00:00:00,20.893413835769646,2025-08-24 00:00:00,26.197598643676205,2025-09-01 16:00:00,23.476953716722395,,,,,,,,,,,,,,,,
CHZ-USD,4h,swing_short,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-22 00:00:00,0.046327113667694354,2025-08-03 00:00:00,0.037112457158448485,2025-08-14 00:00:00,0.04446240651001289,2025-08-26 00:00:00,0.03828625975083752,2025-09-01 16:00:00,0.039011187205332774,,,,,,,,,,,,,,,,
DOGE-USD,4h,swing_short,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.27294634200835066,2025-08-03 00:00:00,0.1916269540469158,2025-08-14 00:00:00,0.24549919437970946,2025-08-20 00:00:00,0.20911047499485522,2025-09-01 16:00:00,0.21173717443518617,,,,,,,,,,,,,,,,
DOT-USD,4h,swing_short,DT,110,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,3.155690434118208,2025-07-23 00:00:00,4.541929356743654,2025-08-03 00:00:00,3.5097263835436174,2025-08-14 00:00:00,4.28768471671229,2025-08-20 00:00:00,3.716261938519478,,,,,,,,,,,,,,,,
EGLD-USD,4h,swing_short,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,12.025219088414275,2025-07-23 00:00:00,18.148134333494934,2025-08-03 00:00:00,13.792756658898938,2025-08-14 00:00:00,16.753853363579353,2025-09-01 16:00:00,14.014689610826995,,,,,,,,,,,,,,,,
ETC-USD,4h,swing_short,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,15.176161369400132,2025-07-21 00:00:00,24.63621267134806,2025-08-03 00:00:00,19.22321911065562,2025-08-23 00:00:00,24.471247382977555,2025-09-01 16:00:00,20.50700161392211,,,,,,,,,,,,,,,,
ICP-USD,4h,swing_short,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,4.552421589729337,2025-07-22 00:00:00,6.150058629141084,2025-08-03 00:00:00,4.951676203152584,2025-08-14 00:00:00,6.030592504797937,2025-09-01 16:00:00,4.70900081600571,,,,,,,,,,,,,,,,
MANA-USD,4h,swing_short,DB,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-07-23 00:00:00,0.3546830755549202,2025-08-03 00:00:00,0.2671120512633413,2025-08-14 00:00:00,0.32097410879416804,2025-08-20 00:00:00,0.2722484245926382,2025-09-01 16:00:00,0.28780285529826954,,,,,,,,,,,,,,,,
NEAR-USD,4h,swing_short,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,1.8967218593053334,2025-07-22 00:00:00,3.0251192086181953,2025-08-03 00:00:00,2.347029955191016,2025-08-14 00:00:00,2.9936942774436037,2025-09-01 16:00:00,2.3513520240671997,,,,,,,,,,,,,,,,
NEO-USD,4h,swing_short,DT,99,,,True,True,True,False,True,True,False,False,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,5.018562764687151,2025-07-21 00:00:00,7.543112526217204,2025-08-03 00:00:00,5.656094756942102,2025-08-25 00:00:00,7.759835474340711,2025-09-01 16:00:00,6.476900638317839,,,,,,,,,,,,,,,,
VET-USD,4h,swing_short,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-22 00:00:00,0.02842580245456641,2025-08-03 00:00:00,0.022215509503292777,2025-08-14 00:00:00,0.026548451516435756,2025-08-20 00:00:00,0.02300960724679428,2025-09-01 16:00:00,0.02360878026419969,,,,,,,,,,,,,,,,
XRP-USD,4h,swing_short,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,2.013512764553698,2025-07-22 00:00:00,3.55629271011838,2025-08-03 00:00:00,2.769267387192411,2025-08-08 00:00:00,3.3154332521736825,2025-09-01 16:00:00,2.743178645399611,,,,,,,,,,,,,,,,
ZIL-USD,4h,swing_short,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.013618810088162889,2025-08-03 00:00:00,0.010405770752439541,2025-08-14 00:00:00,0.012497110990006957,2025-08-20 00:00:00,0.01073191529323536,2025-09-01 16:00:00,0.011101815891178184,,,,,,,,,,,,,,,,
THETA-USD,4h,swing_medium,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,0.5983575267026536,2025-07-23 00:00:00,0.9776835339879028,2025-08-03 00:00:00,0.7286415892658674,2025-08-14 00:00:00,0.9172492345786832,2025-08-20 00:00:00,0.7615908127880339,,,,,,,,,,,,,,,,
ADA-USD,1d,swing_medium,DT,105,,,True,True,True,False,True,True,False,True,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,0.5411301510006504,2025-07-23 00:00:00,0.9027605176449547,2025-08-03 00:00:00,0.6980981330649948,2025-08-18 00:00:00,0.9632097962031909,2025-09-01 00:00:00,0.8059569516508434,,,,,,,,,,,,,,,,
AVAX-USD,1d,swing_medium,DT,105,,,True,True,True,False,True,True,False,True,True,,False,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,16.504194814921206,2025-07-28 00:00:00,25.960361202926606,2025-08-03 00:00:00,20.893413835769646,2025-08-24 00:00:00,26.197598643676205,2025-09-01 00:00:00,23.42296952162818,,,,,,,,,,,,,,,,
CHZ-USD,1d,swing_medium,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-22 00:00:00,0.046327113667694354,2025-08-03 00:00:00,0.037112457158448485,2025-08-14 00:00:00,0.04446240651001289,2025-08-26 00:00:00,0.03828625975083752,2025-09-01 00:00:00,0.03994884805391859,,,,,,,,,,,,,,,,
DOGE-USD,1d,swing_medium,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.27294634200835066,2025-08-03 00:00:00,0.1916269540469158,2025-08-14 00:00:00,0.24549919437970946,2025-08-20 00:00:00,0.20911047499485522,2025-09-01 00:00:00,0.2138121881539986,,,,,,,,,,,,,,,,
DOT-USD,1d,swing_medium,DT,110,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,3.155690434118208,2025-07-23 00:00:00,4.541929356743654,2025-08-03 00:00:00,3.5097263835436174,2025-08-14 00:00:00,4.28768471671229,2025-08-20 00:00:00,3.716261938519478,,,,,,,,,,,,,,,,
EGLD-USD,1d,swing_medium,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,12.025219088414275,2025-07-23 00:00:00,18.148134333494934,2025-08-03 00:00:00,13.792756658898938,2025-08-14 00:00:00,16.753853363579353,2025-09-01 00:00:00,14.019464716992536,,,,,,,,,,,,,,,,
ETC-USD,1d,swing_medium,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,15.176161369400132,2025-07-21 00:00:00,24.63621267134806,2025-08-03 00:00:00,19.22321911065562,2025-08-23 00:00:00,24.471247382977555,2025-09-01 00:00:00,20.513052087599824,,,,,,,,,,,,,,,,
FIL-USD,1d,swing_medium,DB,91,,,True,True,True,False,False,False,False,True,True,,False,False,,True,,,,True,,True,True,,False,2025-07-23 00:00:00,2.9283455693340734,2025-08-03 00:00:00,2.27151701116351,2025-08-14 00:00:00,2.7418771206563184,2025-08-26 00:00:00,2.1880295726633876,2025-09-01 00:00:00,2.316258918941093,,,,,,,,,,,,,,,,
ICP-USD,1d,swing_medium,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,4.552421589729337,2025-07-22 00:00:00,6.150058629141084,2025-08-03 00:00:00,4.951676203152584,2025-08-14 00:00:00,6.030592504797937,2025-09-01 00:00:00,4.7103660731798165,,,,,,,,,,,,,,,,
MANA-USD,1d,swing_medium,DB,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-07-23 00:00:00,0.3546830755549202,2025-08-03 00:00:00,0.2671120512633413,2025-08-14 00:00:00,0.32097410879416804,2025-08-20 00:00:00,0.2722484245926382,2025-09-01 00:00:00,0.2879335079978487,,,,,,,,,,,,,,,,
NEAR-USD,1d,swing_medium,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,1.8967218593053334,2025-07-22 00:00:00,3.0251192086181953,2025-08-03 00:00:00,2.347029955191016,2025-08-14 00:00:00,2.9936942774436037,2025-09-01 00:00:00,2.352098090622847,,,,,,,,,,,,,,,,
NEO-USD,1d,swing_medium,DT,110,,,True,True,True,False,True,True,False,True,True,,False,True,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,5.018562764687151,2025-07-21 00:00:00,7.543112526217204,2025-08-03 00:00:00,5.656094756942102,2025-08-25 00:00:00,7.759835474340711,2025-09-01 00:00:00,6.47874826146677,,,,,,,,,,,,,,,,
