ticker,timeframe,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_divergencia_macd,valid_divergencia_rsi,valid_extremo_cabeca,valid_neckline_plana,valid_ombro_direito_fraco,valid_perfil_volume,valid_proeminencia_cabeca,valid_simetria_ombros,p0_idx,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco
SOL-USD,1h,OCOI,100,True,True,True,True,True,True,True,True,True,True,2024-04-08 09:00:00,2024-04-09 15:00:00,169.47166442871094,2024-04-09 17:00:00,177.18067932128906,2024-04-10 12:00:00,163.85829162597656,2024-04-11 07:00:00,175.87158203125,2024-04-11 11:00:00,170.4033660888672
SOL-USD,1h,OCO,85,True,True,True,True,True,True,False,True,False,True,2024-10-10 18:00:00,2024-10-15 00:00:00,157.95852661132812,2024-10-15 11:00:00,152.17588806152344,2024-10-15 14:00:00,158.7029266357422,2024-10-15 15:00:00,151.0033721923828,2024-10-16 11:00:00,158.0610809326172
SOL-USD,1h,OCO,90,True,True,True,True,True,True,True,True,False,True,2024-12-05 01:00:00,2024-12-05 12:00:00,244.67587280273438,2024-12-05 22:00:00,229.2353515625,2024-12-06 01:00:00,246.41836547851562,2024-12-06 13:00:00,231.52500915527344,2024-12-07 21:00:00,243.0997772216797
SOL-USD,1h,OCO,75,True,True,True,False,True,True,False,False,True,True,2024-12-23 07:00:00,2024-12-23 21:00:00,193.042724609375,2024-12-24 02:00:00,186.20919799804688,2024-12-25 02:00:00,201.63018798828125,2024-12-27 07:00:00,186.4268341064453,2024-12-27 09:00:00,193.74954223632812
SOL-USD,1h,OCOI,95,True,True,True,True,True,True,False,True,True,True,2024-12-29 14:00:00,2024-12-29 23:00:00,188.38336181640625,2024-12-30 12:00:00,194.3759765625,2024-12-30 15:00:00,185.9597625732422,2024-12-30 20:00:00,196.07424926757812,2024-12-31 05:00:00,188.05079650878906
SOL-USD,1h,OCO,75,True,True,False,False,True,True,True,True,True,True,2025-01-27 10:00:00,2025-01-27 14:00:00,237.14036560058594,2025-01-27 18:00:00,224.51132202148438,2025-01-28 05:00:00,243.79446411132812,2025-01-28 23:00:00,225.2866973876953,2025-01-29 08:00:00,235.3924560546875
SOL-USD,1h,OCOI,100,True,True,True,True,True,True,True,True,True,True,2025-02-17 22:00:00,2025-02-18 09:00:00,163.80747985839844,2025-02-18 12:00:00,171.10939025878906,2025-02-18 17:00:00,161.32679748535156,2025-02-19 00:00:00,170.50686645507812,2025-02-19 05:00:00,164.1070098876953
SOL-USD,1h,OCO,80,True,True,True,False,True,True,False,True,True,True,2025-02-19 05:00:00,2025-02-19 11:00:00,174.054443359375,2025-02-19 21:00:00,166.71368408203125,2025-02-21 13:00:00,180.24514770507812,2025-02-21 21:00:00,167.35621643066406,2025-02-22 13:00:00,174.46231079101562
SOL-USD,1h,OCOI,70,True,True,False,False,True,True,False,True,True,True,2025-05-18 15:00:00,2025-05-18 20:00:00,165.52999877929688,2025-05-18 23:00:00,174.07440185546875,2025-05-19 07:00:00,159.74765014648438,2025-05-20 02:00:00,172.82200622558594,2025-05-20 14:00:00,164.7952423095703
SOL-USD,1h,OCOI,90,True,True,True,True,True,True,False,False,True,True,2025-05-29 03:00:00,2025-05-31 03:00:00,152.44351196289062,2025-05-31 21:00:00,157.92530822753906,2025-06-01 10:00:00,150.85458374023438,2025-06-02 01:00:00,158.88626098632812,2025-06-02 19:00:00,152.00218200683594
SOL-USD,1h,OCO,95,True,True,True,True,True,True,False,True,True,True,2025-06-14 20:00:00,2025-06-15 19:00:00,153.18092346191406,2025-06-15 21:00:00,148.5477752685547,2025-06-16 19:00:00,158.5836181640625,2025-06-17 00:00:00,148.4330596923828,2025-06-17 06:00:00,154.14190673828125
SOL-USD,4h,OCO,80,True,True,True,False,True,True,True,False,True,True,2025-03-18 12:00:00,2025-03-19 20:00:00,135.92552185058594,2025-03-21 16:00:00,124.98175811767578,2025-03-25 12:00:00,147.05360412597656,2025-03-31 00:00:00,123.08495330810547,2025-04-02 20:00:00,135.48837280273438
SOL-USD,4h,OCO,95,True,True,True,True,True,True,True,False,True,True,2025-04-21 16:00:00,2025-04-23 12:00:00,153.8248748779297,2025-04-24 08:00:00,145.66134643554688,2025-04-25 12:00:00,155.9680938720703,2025-04-28 00:00:00,144.9167938232422,2025-04-28 08:00:00,153.10902404785156
HBAR-USD,1h,OCO,85,True,True,True,True,True,True,True,False,False,True,2023-11-03 10:00:00,2023-11-07 02:00:00,0.06209922954440117,2023-11-07 17:00:00,0.056286219507455826,2023-11-09 06:00:00,0.06246977671980858,2023-11-09 20:00:00,0.05669023469090462,2023-11-10 10:00:00,0.061922501772642136
HBAR-USD,1h,OCO,100,True,True,True,True,True,True,True,True,True,True,2024-01-10 12:00:00,2024-01-10 23:00:00,0.08527283370494843,2024-01-11 06:00:00,0.08180602639913559,2024-01-11 14:00:00,0.0873429924249649,2024-01-12 09:00:00,0.08252580463886261,2024-01-12 14:00:00,0.08514801412820816
